danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,audio_features,7DnAm9FOTWE3cUvso43HhI,spotify:track:7DnAm9FOTWE3cUvso43HhI,https://api.spotify.com/v1/tracks/7DnAm9FOTWE3cUvso43HhI,https://api.spotify.com/v1/audio-analysis/7DnAm9FOTWE3cUvso43HhI,187436,4
0.906,0.382,10,-12.89,0,0.269,0.18,0.0,0.113,0.391,104.025,audio_features,5GBuCHuPKx6UC7VsSPK0t3,spotify:track:5GBuCHuPKx6UC7VsSPK0t3,https://api.spotify.com/v1/tracks/5GBuCHuPKx6UC7VsSPK0t3,https://api.spotify.com/v1/audio-analysis/5GBuCHuPKx6UC7VsSPK0t3,129264,4
0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,audio_features,2iUXsYOEPhVqEBwsqP70rE,spotify:track:2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,203418,4
0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,audio_features,1xzBco0xcoJEDXktl7Jxrr,spotify:track:1xzBco0xcoJEDXktl7Jxrr,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,183907,4
0.697,0.382,7,-13.488,1,0.145,0.0768,0.0,0.119,0.469,157.963,audio_features,5qfE7gCS33CDNwdUtepNqu,spotify:track:5qfE7gCS33CDNwdUtepNqu,https://api.spotify.com/v1/tracks/5qfE7gCS33CDNwdUtepNqu,https://api.spotify.com/v1/audio-analysis/5qfE7gCS33CDNwdUtepNqu,283220,4
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,audio_features,3ee8Jmje8o58CHK66QrVC2,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,166606,4
0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,audio_features,4eWQlBRaTjPPUlzacqEeoQ,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ,226973,4
0.854,0.463,5,-6.159,1,0.137,0.117,0.0,0.354,0.549,120.024,audio_features,0b9oOr2ZgvyQu88wzixux9,spotify:track:0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/tracks/0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/audio-analysis/0b9oOr2ZgvyQu88wzixux9,225773,4
0.817,0.816,2,-5.402,1,0.269,0.00263,0.0,0.159,0.508,181.982,audio_features,2UVbBKQOdFAekPTRsnkzcf,spotify:track:2UVbBKQOdFAekPTRsnkzcf,https://api.spotify.com/v1/tracks/2UVbBKQOdFAekPTRsnkzcf,https://api.spotify.com/v1/audio-analysis/2UVbBKQOdFAekPTRsnkzcf,190288,4
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,spotify:track:0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427,4
0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,audio_features,6QgjcU0zLnzq5OrUoSZ3OK,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,163253,4
0.936,0.523,5,-6.71,1,0.0597,0.239,0.0,0.117,0.699,119.889,audio_features,43ZyHQITOjhciSUUNPVRHc,spotify:track:43ZyHQITOjhciSUUNPVRHc,https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc,https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc,124056,4
0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,audio_features,5cF0dROlMOK5uNZtivgu50,spotify:track:5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/tracks/5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/audio-analysis/5cF0dROlMOK5uNZtivgu50,208787,4
0.736,0.458,5,-7.437,1,0.0316,0.441,0.0,0.148,0.65,98.977,audio_features,7FpBQ067pHB67deawpbbcY,spotify:track:7FpBQ067pHB67deawpbbcY,https://api.spotify.com/v1/tracks/7FpBQ067pHB67deawpbbcY,https://api.spotify.com/v1/audio-analysis/7FpBQ067pHB67deawpbbcY,162547,4
0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4
0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,audio_features,12GEpg2XOPyqk03JZEZnJs,spotify:track:12GEpg2XOPyqk03JZEZnJs,https://api.spotify.com/v1/tracks/12GEpg2XOPyqk03JZEZnJs,https://api.spotify.com/v1/audio-analysis/12GEpg2XOPyqk03JZEZnJs,220781,4
0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,audio_features,4Q3N4Ct4zCuIHuZ65E3BD4,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,https://api.spotify.com/v1/tracks/4Q3N4Ct4zCuIHuZ65E3BD4,https://api.spotify.com/v1/audio-analysis/4Q3N4Ct4zCuIHuZ65E3BD4,268187,4
0.849,0.648,7,-6.188,1,0.0835,0.0706,0.00636,0.0984,0.195,106.058,audio_features,6tO5bxNnMuh1c3cziSpecA,spotify:track:6tO5bxNnMuh1c3cziSpecA,https://api.spotify.com/v1/tracks/6tO5bxNnMuh1c3cziSpecA,https://api.spotify.com/v1/audio-analysis/6tO5bxNnMuh1c3cziSpecA,111020,4
0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502,audio_features,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,222360,4
0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,audio_features,1PSBzsahR2AKwLJgx8ehBj,spotify:track:1PSBzsahR2AKwLJgx8ehBj,https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj,https://api.spotify.com/v1/audio-analysis/1PSBzsahR2AKwLJgx8ehBj,239293,4
0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833,audio_features,5YEOzOojehCqxGQCcQiyR4,spotify:track:5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/tracks/5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/audio-analysis/5YEOzOojehCqxGQCcQiyR4,246761,4
0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,audio_features,5kqIPrATaCc2LqxVWzQGbk,spotify:track:5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,237300,4
0.889,0.498,0,-7.072,1,0.0333,0.272,0.196,0.142,0.676,99.932,audio_features,2RRRLgo66ueTHX0rn9G4Sn,spotify:track:2RRRLgo66ueTHX0rn9G4Sn,https://api.spotify.com/v1/tracks/2RRRLgo66ueTHX0rn9G4Sn,https://api.spotify.com/v1/audio-analysis/2RRRLgo66ueTHX0rn9G4Sn,164013,5
0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,audio_features,76hfruVvmfQbw0eYn1nmeC,spotify:track:76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC,219147,4
0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,audio_features,0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,202747,4
0.756,0.674,0,-6.518,0,0.0959,0.0184,0.0,0.158,0.389,111.995,audio_features,40YcuQysJ0KlGQTeGUosTC,spotify:track:40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,251467,4
0.612,0.921,7,-2.882,1,0.085,0.0183,0.0,0.0576,0.446,139.988,audio_features,70eDxAyAraNTiD6lx2ZEnH,spotify:track:70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/audio-analysis/70eDxAyAraNTiD6lx2ZEnH,202173,4
0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,audio_features,7eB1V5LvAdxCc7brfGhRRo,spotify:track:7eB1V5LvAdxCc7brfGhRRo,https://api.spotify.com/v1/tracks/7eB1V5LvAdxCc7brfGhRRo,https://api.spotify.com/v1/audio-analysis/7eB1V5LvAdxCc7brfGhRRo,177523,4
0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,audio_features,2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,222093,4
0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,audio_features,023OVLNzXhX0j7CxswUt6D,spotify:track:023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/tracks/023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/audio-analysis/023OVLNzXhX0j7CxswUt6D,180560,4
