,index,date,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year,count
274,365,2019,42,Sweet But Psycho,Ava Max,34.0,10,35,2019,1
277,374,2019,50,Thotiana,Blueface,50.0,8,20,2019,1
278,377,2019,50,Youngblood,5 Seconds Of Summer,50.0,7,48,2019,1
279,381,2019,47,Mo Bamba,Sheck Wes,43.0,6,28,2019,1
283,390,2018,50,Boo'd Up,Ella Mai,42.0,5,35,2018,1
284,393,2018,46,Sad!,XXXTENTACION,45.0,1,38,2018,1
301,416,2018,42,Never Be The Same,Camila Cabello,41.0,6,37,2018,1
302,417,2018,100,This Is America,Childish Gambino,95.0,1,17,2018,1
307,431,2018,44,Stir Fry,Migos,50.0,8,21,2018,1
308,433,2018,34,Wake Me Up!,Avicii,,4,54,2018,1
313,438,2018,50,Feel It Still,Portugal. The Man,39.0,4,45,2018,1
321,448,2018,47,Gucci Gang,Lil Pump,42.0,3,24,2018,1
331,461,2018,48,Attention,Charlie Puth,44.0,5,40,2018,1
343,480,2017,49,Body Like A Back Road,Sam Hunt,49.0,6,41,2017,1
344,483,2017,48,Mask Off,Future,46.0,5,31,2017,1
345,484,2017,44,It Ain't Me,Kygo x Selena Gomez,37.0,10,29,2017,1
357,499,2017,55,Tunnel Vision,Kodak Black,51.0,6,20,2017,1
360,504,2017,46,Paris,The Chainsmokers,53.0,6,20,2017,1
375,523,2017,50,Bounce Back,Big Sean,45.0,6,28,2017,1
376,525,2017,50,Bad Things,Machine Gun Kelly x Camila Cabello,39.0,4,23,2017,1
392,553,2016,44,Panda,Desiigner,42.0,1,40,2016,1
408,573,2016,46,7 Years,Lukas Graham,45.0,2,36,2016,1
409,574,2016,58,Don't Mind,Kent Jones,50.0,8,20,2016,1
410,575,2016,47,Cake By The Ocean,DNCE,49.0,9,46,2016,1
419,584,2016,48,Pillowtalk,Zayn,38.0,1,24,2016,1
420,585,2016,49,"Me, Myself & I",G-Eazy x Bebe Rexha,42.0,7,37,2016,1
456,624,2016,49,Ex's & Oh's,Elle King,48.0,10,38,2016,1
463,634,2016,47,Watch Me,Silento,38.0,3,51,2016,1
464,636,2016,39,Trap Queen,Fetty Wap,35.0,2,52,2016,1
465,639,2016,49,Cheerleader,OMI,43.0,1,35,2016,1
466,641,2015,39,Shut Up And Dance,WALK THE MOON,38.0,4,53,2015,1
467,642,2015,47,Fight Song,Rachel Platten,40.0,6,31,2015,1
472,648,2015,48,"Honey, I'm Good.",Andy Grammer,38.0,9,31,2015,1
475,652,2015,58,Nasty Freestyle,T-Wayne,52.0,9,20,2015,1
476,657,2015,48,Take Me To Church,Hozier,39.0,2,41,2015,1
481,662,2015,49,Jealous,Nick Jonas,48.0,7,32,2015,1
482,663,2015,46,Chandelier,Sia,47.0,8,46,2015,1
483,666,2015,50,Habits (Stay High),Tove Lo,47.0,3,39,2015,1
486,669,2015,44,Rude,MAGIC!,45.0,1,41,2015,1
487,672,2015,34,Hot Boy,Bobby Shmurda,29.0,6,25,2015,1
488,676,2014,43,All Of Me,John Legend,36.0,1,59,2014,1
489,677,2014,49,Boom Clap,Charli XCX,47.0,8,25,2014,1
490,678,2014,50,Happy,Pharrell Williams,37.0,1,47,2014,1
496,690,2014,50,Summer,Calvin Harris,43.0,7,26,2014,1
497,693,2014,46,Pompeii,Bastille,44.0,5,53,2014,1
498,694,2014,49,Ain't It Fun,Paramore,41.0,10,24,2014,1
499,696,2014,44,Let It Go,Idina Menzel,35.0,5,33,2014,1
502,700,2014,50,Let Her Go,Passenger,42.0,5,43,2014,1
503,703,2014,33,The Man,Aloe Blacc,32.0,8,20,2014,1
514,719,2014,9,We Might Be Dead By Tomorrow,Soko,,9,1,2014,1
515,721,2014,44,Safe And Sound,Capital Cities,46.0,8,43,2014,1
516,723,2014,75,The Fox,Ylvis,58.0,6,18,2014,1
517,725,2013,43,Only Time,Enya,,10,32,2013,1
528,739,2013,45,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,34.0,6,44,2013,1
529,746,2013,50,Ho Hey,The Lumineers,44.0,3,62,2013,1
532,751,2013,70,Harlem Shake,Baauer,64.0,1,20,2013,1
533,757,2013,50,Home,Phillip Phillips,46.0,6,40,2013,1
534,759,2013,49,Some Nights,fun.,39.0,3,56,2013,1
547,773,2013,48,Call Me Maybe,Carly Rae Jepsen,43.0,1,50,2013,1
548,774,2013,47,Too Close,Alex Clare,40.0,7,44,2013,1
556,783,2012,43,Everybody Talks,Neon Trees,33.0,6,39,2012,1
559,790,2012,49,Glad You Came,The Wanted,46.0,3,37,2012,1
573,808,2012,50,Sexy And I Know It,LMFAO,46.0,1,42,2012,1
574,812,2012,47,Rack City,Tyga,45.0,7,25,2012,1
575,813,2012,44,Domino,Jessie J,34.0,6,29,2012,1
576,814,2012,45,Ni**as in Paris,Jay Z Kanye West,45.0,5,36,2012,1
600,847,2012,49,Pumped Up Kicks,Foster The People,42.0,3,40,2012,1
601,851,2011,43,Tonight Tonight,Hot Chelle Rae,40.0,7,30,2011,1
612,863,2011,49,Dirt Road Anthem,Jason Aldean,49.0,7,27,2011,1
625,878,2011,41,The Show Goes On,Lupe Fiasco,35.0,9,33,2011,1
626,881,2011,50,F**k You! (Forget You),CeeLo Green,50.0,2,48,2011,1
627,888,2011,48,Dynamite,Taio Cruz,44.0,2,47,2011,1
634,908,2010,45,Bulletproof,La Roux,45.0,8,27,2010,1
635,912,2010,49,Whataya Want From Me,Adam Lambert,45.0,10,30,2010,1
636,913,2010,37,Young Forever,Jay-Z + Mr. Hudson,31.0,10,25,2010,1
639,921,2010,46,Replay,Iyaz,39.0,2,34,2010,1
640,922,2010,47,Empire State Of Mind,Jay-Z + Alicia Keys,39.0,1,30,2010,1
641,925,2010,48,Fireflies,Owl City,38.0,1,31,2010,1
642,927,2010,96,We Are The World 25: For Haiti,Artists For Haiti,66.0,2,5,2010,1
643,928,2010,44,Use Somebody,Kings Of Leon,44.0,4,57,2010,1
651,940,2009,79,Every Girl,Young Money,64.0,10,20,2009,1
652,941,2009,48,Second Chance,Shinedown,42.0,7,41,2009,1
653,942,2009,39,Birthday Sex,Jeremih,28.0,4,20,2009,1
654,943,2009,48,Don't Trust Me,3OH!3,31.0,7,37,2009,1
658,947,2009,96,He Could Be The One,Hannah Montana,71.0,10,5,2009,1
659,948,2009,43,Day 'N' Nite,Kid Cudi,42.0,3,27,2009,1
684,984,2009,39,Crush,David Archuleta,47.0,2,23,2009,1
685,986,2008,45,Paper Planes,M.I.A.,39.0,4,20,2008,1
686,989,2008,47,Bleeding Love,Leona Lewis,45.0,1,39,2008,1
687,992,2008,50,Shake It,Metro Station,47.0,10,30,2008,1
692,997,2008,44,Leavin',Jesse McCartney,34.0,10,24,2008,1
693,998,2008,53,The Time Of My Life,David Cook,49.0,3,20,2008,1
694,1000,2008,50,No Air,Jordin Sparks Duet With Chris Brown,43.0,3,35,2008,1
697,1004,2008,47,Love Song,Sara Bareilles,45.0,4,41,2008,1
698,1011,2008,99,New Soul,Yael Naim,95.0,7,19,2008,1
