,index,date,song,artist,peak-rank,weeks-on-board,release_year,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_m
0,9,2013,Call Me Maybe,Carly Rae Jepsen,1,50,2013,3TGRqZ0a2l1LRblBkJoaDx,0.783,0.58,G,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,3TGRqZ0a2l1LRblBkJoaDx,3.22
1,1,2014,All Of Me,John Legend,1,59,2014,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,G#,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,4.49
2,13,2014,Happy,Pharrell Williams,1,47,2014,27RYrbL6S02LNVhDWVl38b,0.321,0.64,D,-10.023,1,0.0324,0.28,0.0,0.718,0.414,146.172,27RYrbL6S02LNVhDWVl38b,3.57
3,12,2011,Dynamite,Taio Cruz,2,47,2011,1DqdF42leyFIzqNDv9CjId,0.754,0.804,E,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,1DqdF42leyFIzqNDv9CjId,3.4
4,11,2011,F**k You! (Forget You),CeeLo Green,2,48,2011,5GvWrvLIqoHroq7YvO260M,0.734,0.485,E,-13.865,0,0.0465,0.357,0.00019,0.0401,0.933,95.321,5GvWrvLIqoHroq7YvO260M,3.7
5,7,2016,Trap Queen,Fetty Wap,2,52,2016,2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,G,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,2d8JP84HNLKhmd6IYOoupQ,3.7
6,8,2016,Watch Me,Silento,3,51,2016,7eB1V5LvAdxCc7brfGhRRo,0.441,0.599,C,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,7eB1V5LvAdxCc7brfGhRRo,2.96
7,0,2013,Ho Hey,The Lumineers,3,62,2013,0W4Kpfp1w2xkY3PrV714B7,0.685,0.466,C,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,0W4Kpfp1w2xkY3PrV714B7,2.72
8,3,2013,Some Nights,fun.,3,56,2013,6t6oULCRS6hnI7rm0h5gwl,0.672,0.738,C,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,6t6oULCRS6hnI7rm0h5gwl,4.62
9,4,2018,Wake Me Up!,Avicii,4,54,2018,0nrRP2bk19rLc0orkWPQk2,0.532,0.783,D,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,4.12
