danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.71,0.598,5,-7.598,0,0.0319,0.508,0.0,0.0971,0.501,119.981,audio_features,3DZQ6mzUkAdHqZWzqxBKIK,spotify:track:3DZQ6mzUkAdHqZWzqxBKIK,https://api.spotify.com/v1/tracks/3DZQ6mzUkAdHqZWzqxBKIK,https://api.spotify.com/v1/audio-analysis/3DZQ6mzUkAdHqZWzqxBKIK,256320,4
0.656,0.696,8,-5.917,1,0.0261,0.0134,0.0,0.0753,0.966,108.015,audio_features,63w0QA1wiV7QhF9jeiHETF,spotify:track:63w0QA1wiV7QhF9jeiHETF,https://api.spotify.com/v1/tracks/63w0QA1wiV7QhF9jeiHETF,https://api.spotify.com/v1/audio-analysis/63w0QA1wiV7QhF9jeiHETF,186627,4
0.722,0.54,0,-14.025,1,0.0303,0.028,0.00319,0.133,0.608,131.676,audio_features,07nxmAxwhY51juyImllKD2,spotify:track:07nxmAxwhY51juyImllKD2,https://api.spotify.com/v1/tracks/07nxmAxwhY51juyImllKD2,https://api.spotify.com/v1/audio-analysis/07nxmAxwhY51juyImllKD2,322897,4
0.593,0.584,1,-7.33,1,0.0455,0.346,0.0,0.183,0.135,160.029,audio_features,3NU9STY416ZioZ9YeTueBA,spotify:track:3NU9STY416ZioZ9YeTueBA,https://api.spotify.com/v1/tracks/3NU9STY416ZioZ9YeTueBA,https://api.spotify.com/v1/audio-analysis/3NU9STY416ZioZ9YeTueBA,132179,4
0.476,0.331,5,-14.884,1,0.0305,0.31,2.82e-06,0.172,0.24,130.574,audio_features,43thLwzSasUUZEYjYPeJh3,spotify:track:43thLwzSasUUZEYjYPeJh3,https://api.spotify.com/v1/tracks/43thLwzSasUUZEYjYPeJh3,https://api.spotify.com/v1/audio-analysis/43thLwzSasUUZEYjYPeJh3,283133,4
0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,audio_features,3uUuGVFu1V7jTQL60S1r8z,spotify:track:3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/tracks/3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/audio-analysis/3uUuGVFu1V7jTQL60S1r8z,148197,4
0.406,0.399,7,-10.449,1,0.0278,0.756,0.678,0.112,0.163,142.83,audio_features,3p4hRhMcb6ch8OLtATMaLw,spotify:track:3p4hRhMcb6ch8OLtATMaLw,https://api.spotify.com/v1/tracks/3p4hRhMcb6ch8OLtATMaLw,https://api.spotify.com/v1/audio-analysis/3p4hRhMcb6ch8OLtATMaLw,256800,4
0.46,0.796,0,-4.501,0,0.0333,0.00107,0.0,0.106,0.182,100.011,audio_features,0CwYG1UnRmOx8Q1EzElCIL,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,https://api.spotify.com/v1/tracks/0CwYG1UnRmOx8Q1EzElCIL,https://api.spotify.com/v1/audio-analysis/0CwYG1UnRmOx8Q1EzElCIL,222067,4
0.513,0.627,3,-7.455,1,0.0429,0.64,2.79e-06,0.165,0.109,143.988,audio_features,2fV1D2YYFYreZXNDhqxk4D,spotify:track:2fV1D2YYFYreZXNDhqxk4D,https://api.spotify.com/v1/tracks/2fV1D2YYFYreZXNDhqxk4D,https://api.spotify.com/v1/audio-analysis/2fV1D2YYFYreZXNDhqxk4D,202284,4
0.813,0.776,11,-6.694,0,0.0332,0.00847,0.00717,0.1,0.316,116.965,audio_features,3sF4ayG84hfGW9TbxU0jc7,spotify:track:3sF4ayG84hfGW9TbxU0jc7,https://api.spotify.com/v1/tracks/3sF4ayG84hfGW9TbxU0jc7,https://api.spotify.com/v1/audio-analysis/3sF4ayG84hfGW9TbxU0jc7,179373,4
