Unnamed: 0,index,date,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year,count,track_id
1798,2331,1989,83,Love Song,The Cure,62,2,17,1989,1,3DZQ6mzUkAdHqZWzqxBKIK
1822,2355,1989,96,Angel Eyes,The Jeff Healey Band,71,5,22,1989,1,63w0QA1wiV7QhF9jeiHETF
1823,2356,1989,89,Once Bitten Twice Shy,Great White,81,5,26,1989,1,07nxmAxwhY51juyImllKD2
1845,2379,1989,83,So Alive,Love And Rockets,73,3,20,1989,1,3NU9STY416ZioZ9YeTueBA
1855,2389,1989,91,Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne),89,8,25,1989,1,43thLwzSasUUZEYjYPeJh3
1881,2415,1989,92,Where Are You Now?,Jimmy Harnen With Synch,89,10,36,1989,1,3uUuGVFu1V7jTQL60S1r8z
1883,2417,1989,98,Cry,Waterfront,66,10,17,1989,1,3p4hRhMcb6ch8OLtATMaLw
1891,2426,1989,88,Second Chance,Thirty Eight Special,68,6,21,1989,1,0CwYG1UnRmOx8Q1EzElCIL
1899,2434,1989,90,Heaven Help Me,Deon Estus With George Michael,73,5,16,1989,1,2fV1D2YYFYreZXNDhqxk4D
1917,2452,1989,99,Walk The Dinosaur,Was (Not Was),78,7,16,1989,1,3sF4ayG84hfGW9TbxU0jc7
1927,2463,1989,84,When I'm With You,Sheriff,76,1,28,1989,1,6yJmxPGazR55GAQdyHPf6q
1943,2480,1989,91,I Remember Holding You,Boys Club,83,8,21,1989,1,1vg9QIylIW01JyfvDtfd4H
1959,2496,1989,86,Waiting For A Star To Fall,Boy Meets Girl,64,5,25,1989,1,09huOVRryZNV2deKFZLJDC
1992,2549,1988,86,Just Got Paid,Johnny Kemp,75,10,21,1988,1,7bNFkCSO1ofu3uzr6voY7T
1993,2550,1988,87,Do You Love Me,The Contours,71,3,34,1988,1,3zHq9ouUJQFQRf3cm1rRLu
1994,2551,1988,100,Rush Hour,Jane Wiedlin,89,9,19,1988,1,09VACB0akCnPueTFnjN5Pn
2000,2557,1988,97,Nite And Day,Al B. Sure!,81,7,21,1988,1,5wfllwdjglyQislkskYLBv
2021,2582,1988,89,Shattered Dreams,Johnny Hates Jazz,69,2,19,1988,1,2LQb3iYBzoxbxct2IexjBc
2022,2583,1988,91,Two Occasions,The Deele,74,10,21,1988,1,0mt80ksFAwPHXyAlArU5Yc
2032,2593,1988,85,Electric Blue,Icehouse,65,7,21,1988,1,5aWvinQcbc1W1WdP0GQ6J1
2046,2608,1988,100,Don't Shed A Tear,Paul Carrack,91,9,24,1988,1,1gBjc1SWw7RDcPJvY9NOcO
2047,2610,1988,99,I Want To Be Your Man,Roger,80,3,21,1988,1,7lJgjvQRJEXcdu19n3Zn5T
