,index,date,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year,count
1059,1523,1999,50,All Star,Smash Mouth,36.0,4,30,1999,1
1060,1524,1999,91,Lost In You,Garth Brooks as Chris Gaines,71.0,5,10,1999,1
1063,1530,1999,37,Fortunate,Maxwell,40.0,4,25,1999,1
1064,1531,1999,48,Kiss Me,Sixpence None The Richer,46.0,2,33,1999,1
1065,1533,1999,94,Chante's Got A Man,Chante Moore,92.0,10,18,1999,1
1069,1538,1999,66,Please Remember Me,Tim McGraw,58.0,10,20,1999,1
1070,1539,1999,91,Give It To You,Jordan Knight,83.0,10,20,1999,1
1085,1556,1999,77,You,Jesse Powell,64.0,10,20,1999,1
1088,1559,1999,50,Save Tonight,Eagle-Eye Cherry,47.0,5,28,1999,1
1089,1561,1999,89,C'est La Vie,B*Witched,56.0,9,15,1999,1
1090,1562,1999,97,Stay The Same,Joey McIntyre,77.0,10,14,1999,1
1091,1564,1999,43,Nobody's Supposed To Be Here,Deborah Cox,34.0,2,29,1999,1
1095,1569,1999,48,Lullaby,Shawn Mullins,44.0,7,18,1999,1
1096,1570,1999,50,Doo Wop (That Thing),Lauryn Hill,47.0,1,21,1999,1
1097,1571,1999,83,Love Like This,Faith Evans,73.0,7,20,1999,1
1100,1575,1999,49,Lately,Divine,41.0,1,27,1999,1
1101,1576,1999,46,I'll Be,Edwin McCain,49.0,5,24,1999,1
1102,1578,1999,69,One Week,Barenaked Ladies,63.0,1,20,1999,1
1103,1579,1999,49,Touch It,Monifah,33.0,9,26,1999,1
1109,1585,1998,32,Crush,Jennifer Paige,29.0,3,25,1998,1
1110,1586,1998,97,Time After Time,Inoj,37.0,6,16,1998,1
1111,1587,1998,22,Never Ever,All Saints,22.0,4,19,1998,1
1112,1589,1998,34,When The Lights Go Out,Five,28.0,10,26,1998,1
1113,1591,1998,47,Daydreamin',Tatyana Ali,36.0,6,17,1998,1
1118,1598,1998,44,Say It,Voices Of Theory,42.0,10,31,1998,1
1119,1599,1998,50,Sex And Candy,Marcy Playground,49.0,8,28,1998,1
1120,1600,1998,45,How Do I Live,LeAnn Rimes,48.0,2,69,1998,1
1124,1605,1998,42,They Don't Know,Jon B,38.0,7,31,1998,1
1148,1631,1998,46,Body Bumpin' Yippie-Yi-Yo,Public Announcement,34.0,5,22,1998,1
1153,1639,1998,50,Gone Till November,Wyclef Jean,46.0,7,20,1998,1
