,date,song,artist,peak-rank,weeks-on-board,release_year,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_m
0,2019,Thotiana,Blueface,8,20,2019,5GBuCHuPKx6UC7VsSPK0t3,0.906,0.382,A#,-12.89,0,0.269,0.18,0,0.113,0.391,104.025,5GBuCHuPKx6UC7VsSPK0t3,2.15
1,2019,Youngblood,5 Seconds Of Summer,7,48,2019,2iUXsYOEPhVqEBwsqP70rE,0.596,0.854,G,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,3.39
2,2019,Mo Bamba,Sheck Wes,6,28,2019,1xzBco0xcoJEDXktl7Jxrr,0.729,0.625,E,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,1xzBco0xcoJEDXktl7Jxrr,3.07
3,2019,Sweet But Psycho,Ava Max,10,35,2019,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,C#,-4.719,1,0.0473,0.0684,0,0.166,0.62,133.002,7DnAm9FOTWE3cUvso43HhI,3.12
4,2018,Stir Fry,Migos,8,21,2018,2UVbBKQOdFAekPTRsnkzcf,0.817,0.816,D,-5.402,1,0.269,0.00263,0,0.159,0.508,181.982,2UVbBKQOdFAekPTRsnkzcf,3.17
5,2018,Gucci Gang,Lil Pump,3,24,2018,43ZyHQITOjhciSUUNPVRHc,0.936,0.523,F,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,43ZyHQITOjhciSUUNPVRHc,2.07
6,2018,Feel It Still,Portugal. The Man,4,45,2018,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,C#,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,2.72
7,2018,Wake Me Up!,Avicii,4,54,2018,0nrRP2bk19rLc0orkWPQk2,0.532,0.783,D,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,4.12
8,2018,Attention,Charlie Puth,5,40,2018,5cF0dROlMOK5uNZtivgu50,0.775,0.613,D#,-4.586,0,0.0542,0.109,2.33E-05,0.134,0.797,100.066,5cF0dROlMOK5uNZtivgu50,3.48
9,2018,This Is America,Childish Gambino,1,17,2018,0b9oOr2ZgvyQu88wzixux9,0.854,0.463,F,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,0b9oOr2ZgvyQu88wzixux9,3.76
10,2018,Never Be The Same,Camila Cabello,6,37,2018,4eWQlBRaTjPPUlzacqEeoQ,0.637,0.713,C,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,4eWQlBRaTjPPUlzacqEeoQ,3.78
11,2018,Sad!,XXXTENTACION,1,38,2018,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,G#,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,3ee8Jmje8o58CHK66QrVC2,2.78
12,2018,Boo'd Up,Ella Mai,5,35,2018,5qfE7gCS33CDNwdUtepNqu,0.697,0.382,G,-13.488,1,0.145,0.0768,0,0.119,0.469,157.963,5qfE7gCS33CDNwdUtepNqu,4.72
13,2017,Body Like A Back Road,Sam Hunt,6,41,2017,7FpBQ067pHB67deawpbbcY,0.736,0.458,F,-7.437,1,0.0316,0.441,0,0.148,0.65,98.977,7FpBQ067pHB67deawpbbcY,2.71
14,2017,Mask Off,Future,5,31,2017,0VgkVdmE4gld66l8iyGjgx,0.833,0.434,D,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,0VgkVdmE4gld66l8iyGjgx,3.41
15,2017,It Ain't Me,Kygo x Selena Gomez,10,29,2017,12GEpg2XOPyqk03JZEZnJs,0.64,0.533,C,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,12GEpg2XOPyqk03JZEZnJs,3.68
16,2017,Tunnel Vision,Kodak Black,6,20,2017,4Q3N4Ct4zCuIHuZ65E3BD4,0.497,0.489,B,-7.724,0,0.294,0.0576,9.91E-05,0.122,0.231,171.853,4Q3N4Ct4zCuIHuZ65E3BD4,4.47
17,2017,Paris,The Chainsmokers,6,20,2017,6tO5bxNnMuh1c3cziSpecA,0.849,0.648,G,-6.188,1,0.0835,0.0706,0.00636,0.0984,0.195,106.058,6tO5bxNnMuh1c3cziSpecA,1.85
18,2017,Bounce Back,Big Sean,6,28,2017,0SGkqnVQo9KPytSri1H6cF,0.78,0.575,C#,-5.628,0,0.139,0.106,0,0.129,0.273,81.502,0SGkqnVQo9KPytSri1H6cF,3.71
