,format,metric,year,value_actual
0,CD,Units,1980,0.0
1,CD,Units,1981,0.0
2,CD,Units,1982,0.0
3,CD,Units,1983,0.8
4,CD,Units,1984,5.8
5,CD,Units,1985,22.6
6,CD,Units,1986,53.0
7,CD,Units,1987,102.1
8,CD,Units,1988,149.7
9,CD,Units,1989,207.2
10,CD,Units,1990,286.5
11,CD,Units,1991,333.3
12,CD,Units,1992,407.5
13,CD,Units,1993,495.4
14,CD,Units,1994,662.1
15,CD,Units,1995,722.9
16,CD,Units,1996,778.9
17,CD,Units,1997,753.1
18,CD,Units,1998,847.0
19,CD,Units,1999,938.9
20,CD,Units,2000,942.5
21,CD,Units,2001,881.9
22,CD,Units,2002,803.3
23,CD,Units,2003,746.0
24,CD,Units,2004,767.0
25,CD,Units,2005,705.4
26,CD,Units,2006,619.7
27,CD,Units,2007,499.7
28,CD,Units,2008,368.4
29,CD,Units,2009,296.6
30,CD,Units,2010,253.0
31,CD,Units,2011,240.8
32,CD,Units,2012,198.164387234
33,CD,Units,2013,173.793302906
34,CD,Units,2014,138.702363357
35,CD,Units,2015,117.144051764
36,CD,Units,2016,97.577071197
37,CD,Units,2017,87.682499971
38,CD,Units,2018,51.954275644
39,CD,Units,2019,46.506495584
40,CD Single,Units,1980,0.0
41,CD Single,Units,1981,0.0
42,CD Single,Units,1982,0.0
43,CD Single,Units,1983,0.0
44,CD Single,Units,1984,0.0
45,CD Single,Units,1985,0.0
46,CD Single,Units,1986,0.0
47,CD Single,Units,1987,0.0
48,CD Single,Units,1988,1.6
49,CD Single,Units,1989,-0.1
50,CD Single,Units,1990,1.1
51,CD Single,Units,1991,5.7
52,CD Single,Units,1992,7.3
53,CD Single,Units,1993,7.8
54,CD Single,Units,1994,9.3
55,CD Single,Units,1995,21.5
56,CD Single,Units,1996,43.2
57,CD Single,Units,1997,66.7
58,CD Single,Units,1998,56.0
59,CD Single,Units,1999,55.9
60,CD Single,Units,2000,34.2
61,CD Single,Units,2001,17.3
62,CD Single,Units,2002,4.5
63,CD Single,Units,2003,8.3
64,CD Single,Units,2004,3.1
65,CD Single,Units,2005,2.8
66,CD Single,Units,2006,1.7
67,CD Single,Units,2007,2.6
68,CD Single,Units,2008,0.7
69,CD Single,Units,2009,0.9
70,CD Single,Units,2010,1.0
71,CD Single,Units,2011,1.3
72,CD Single,Units,2012,1.072870407
73,CD Single,Units,2013,0.628895398
74,CD Single,Units,2014,0.928725116
75,CD Single,Units,2015,0.386721563
76,CD Single,Units,2016,0.121745255
77,CD Single,Units,2017,0.13261663
78,CD Single,Units,2018,0.020854078
79,CD Single,Units,2019,0.026257455
80,Cassette,Units,1980,99.0
81,Cassette,Units,1981,124.0
82,Cassette,Units,1982,183.2
83,Cassette,Units,1983,236.8
84,Cassette,Units,1984,332.0
85,Cassette,Units,1985,339.1
86,Cassette,Units,1986,344.5
87,Cassette,Units,1987,410.0
88,Cassette,Units,1988,450.1
89,Cassette,Units,1989,446.2
90,Cassette,Units,1990,442.2
91,Cassette,Units,1991,360.1
92,Cassette,Units,1992,366.4
93,Cassette,Units,1993,339.5
94,Cassette,Units,1994,345.4
95,Cassette,Units,1995,272.6
96,Cassette,Units,1996,225.3
97,Cassette,Units,1997,172.6
98,Cassette,Units,1998,158.5
99,Cassette,Units,1999,123.6
100,Cassette,Units,2000,76.0
101,Cassette,Units,2001,45.0
102,Cassette,Units,2002,31.1
103,Cassette,Units,2003,17.2
104,Cassette,Units,2004,5.2
105,Cassette,Units,2005,2.5
106,Cassette,Units,2006,0.7
107,Cassette,Units,2007,0.4
108,Cassette,Units,2008,0.1
109,Cassette,Units,2009,0.0
110,Cassette,Units,2010,0.0
111,Cassette,Units,2011,0.0
112,Cassette,Units,2012,0.0
113,Cassette,Units,2013,0.0
114,Cassette,Units,2014,0.0
115,Cassette,Units,2015,0.0
116,Cassette,Units,2016,0.0
117,Cassette,Units,2017,0.0
118,Cassette,Units,2018,0.0
119,Cassette,Units,2019,0.0
120,Cassette Single,Units,1980,0.0
121,Cassette Single,Units,1981,0.0
122,Cassette Single,Units,1982,0.0
123,Cassette Single,Units,1983,0.0
124,Cassette Single,Units,1984,0.0
125,Cassette Single,Units,1985,0.0
126,Cassette Single,Units,1986,0.0
127,Cassette Single,Units,1987,5.1
128,Cassette Single,Units,1988,22.5
129,Cassette Single,Units,1989,76.2
130,Cassette Single,Units,1990,87.4
131,Cassette Single,Units,1991,69.0
132,Cassette Single,Units,1992,84.6
133,Cassette Single,Units,1993,85.6
134,Cassette Single,Units,1994,81.1
135,Cassette Single,Units,1995,70.7
136,Cassette Single,Units,1996,59.9
137,Cassette Single,Units,1997,42.2
138,Cassette Single,Units,1998,26.4
139,Cassette Single,Units,1999,14.2
140,Cassette Single,Units,2000,1.3
141,Cassette Single,Units,2001,-1.5
142,Cassette Single,Units,2002,-0.5
143,Cassette Single,Units,2003,0.0
144,Cassette Single,Units,2004,0.0
145,Cassette Single,Units,2005,0.0
146,Cassette Single,Units,2006,0.0
147,Cassette Single,Units,2007,0.0
148,Cassette Single,Units,2008,0.0
149,Cassette Single,Units,2009,0.0
150,Cassette Single,Units,2010,0.0
151,Cassette Single,Units,2011,0.0
152,Cassette Single,Units,2012,0.0
153,Cassette Single,Units,2013,0.0
154,Cassette Single,Units,2014,0.0
155,Cassette Single,Units,2015,0.0
156,Cassette Single,Units,2016,0.0
157,Cassette Single,Units,2017,0.0
158,Cassette Single,Units,2018,0.0
159,Cassette Single,Units,2019,0.0
160,LP/EP,Units,1980,308.0
161,LP/EP,Units,1981,295.2
162,LP/EP,Units,1982,243.9
163,LP/EP,Units,1983,209.6
164,LP/EP,Units,1984,204.6
165,LP/EP,Units,1985,167.0
166,LP/EP,Units,1986,125.2
167,LP/EP,Units,1987,107.0
168,LP/EP,Units,1988,72.4
169,LP/EP,Units,1989,34.6
170,LP/EP,Units,1990,11.7
171,LP/EP,Units,1991,4.8
172,LP/EP,Units,1992,2.3
173,LP/EP,Units,1993,1.2
174,LP/EP,Units,1994,1.9
175,LP/EP,Units,1995,2.2
176,LP/EP,Units,1996,2.9
177,LP/EP,Units,1997,2.7
178,LP/EP,Units,1998,3.4
179,LP/EP,Units,1999,2.9
180,LP/EP,Units,2000,2.2
181,LP/EP,Units,2001,2.3
182,LP/EP,Units,2002,1.743
183,LP/EP,Units,2003,1.5
184,LP/EP,Units,2004,1.4
185,LP/EP,Units,2005,1.0
186,LP/EP,Units,2006,0.9
187,LP/EP,Units,2007,1.3
188,LP/EP,Units,2008,2.9
189,LP/EP,Units,2009,3.5
190,LP/EP,Units,2010,4.2
191,LP/EP,Units,2011,5.5
192,LP/EP,Units,2012,6.915365189
193,LP/EP,Units,2013,9.35128587
194,LP/EP,Units,2014,10.315563906
195,LP/EP,Units,2015,13.68102972
196,LP/EP,Units,2016,14.770886026
197,LP/EP,Units,2017,15.556089168
198,LP/EP,Units,2018,16.670127326
199,LP/EP,Units,2019,19.103162826
200,Vinyl Single,Units,1980,157.0
201,Vinyl Single,Units,1981,154.7
202,Vinyl Single,Units,1982,137.2
203,Vinyl Single,Units,1983,124.8
204,Vinyl Single,Units,1984,131.5
205,Vinyl Single,Units,1985,120.7
206,Vinyl Single,Units,1986,93.9
