,index,release_year,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year,count
0,81,2019,33,Without Me,Halsey,34.0,1,52,2019,1
1,86,2018,46,Sad!,XXXTENTACION,45.0,1,38,2018,1
2,89,2018,100,This Is America,Childish Gambino,95.0,1,17,2018,1
3,98,2017,47,Humble.,Kendrick Lamar,50.0,1,37,2017,1
4,115,2016,44,Panda,Desiigner,42.0,1,40,2016,1
5,121,2016,48,Pillowtalk,Zayn,38.0,1,24,2016,1
6,128,2016,49,Cheerleader,OMI,43.0,1,35,2016,1
7,130,2015,49,All About That Bass,Meghan Trainor,47.0,1,47,2015,1
8,131,2015,44,Rude,MAGIC!,45.0,1,41,2015,1
9,133,2014,43,All Of Me,John Legend,36.0,1,59,2014,1
10,134,2014,50,Happy,Pharrell Williams,37.0,1,47,2014,1
11,150,2014,49,Royals,Lorde,44.0,1,44,2014,1
12,157,2014,47,Wrecking Ball,Miley Cyrus,43.0,1,32,2014,1
13,166,2013,70,Harlem Shake,Baauer,64.0,1,20,2013,1
14,176,2013,48,Call Me Maybe,Carly Rae Jepsen,43.0,1,50,2013,1
15,185,2012,50,Sexy And I Know It,LMFAO,46.0,1,42,2012,1
16,209,2011,38,Black And Yellow,Wiz Khalifa,34.0,1,25,2011,1
17,222,2010,47,Empire State Of Mind,Jay-Z + Alicia Keys,39.0,1,30,2010,1
18,224,2010,48,Fireflies,Owl City,38.0,1,31,2010,1
19,225,2010,49,Whatcha Say,Jason Derulo,46.0,1,32,2010,1
20,228,2009,48,Viva La Vida,Coldplay,45.0,1,51,2009,1
21,232,2009,40,Whatever You Like,T.I.,35.0,1,31,2009,1
22,233,2008,47,Bleeding Love,Leona Lewis,45.0,1,39,2008,1
23,242,2008,45,Crank That (Soulja Boy),Soulja Boy Tell'em,42.0,1,32,2008,1
24,243,2008,46,Stronger,Kanye West,38.0,1,27,2008,1
25,245,2007,47,Hey There Delilah,Plain White T's,39.0,1,35,2007,1
26,247,2007,50,Beautiful Girls,Sean Kingston,38.0,1,22,2007,1
27,248,2007,43,Girlfriend,Avril Lavigne,31.0,1,24,2007,1
28,251,2007,46,This Is Why I'm Hot,Mims,30.0,1,23,2007,1
29,252,2007,48,Don't Matter,Akon,36.0,1,23,2007,1
30,253,2007,42,Say It Right,Nelly Furtado,44.0,1,30,2007,1
31,260,2006,49,Bad Day,Daniel Powter,49.0,1,32,2006,1
32,263,2006,98,Do I Make You Proud,Taylor Hicks,78.0,1,8,2006,1
33,264,2006,49,You're Beautiful,James Blunt,45.0,1,38,2006,1
34,265,2006,41,So Sick,Ne-Yo,30.0,1,25,2006,1
35,268,2006,47,Run It!,Chris Brown,44.0,1,38,2006,1
36,270,2006,47,Laffy Taffy,D4L,42.0,1,26,2006,1
37,271,2005,45,Hollaback Girl,Gwen Stefani,40.0,1,31,2005,1
38,272,2005,98,Inside Your Heaven,Carrie Underwood,94.0,1,12,2005,1
39,274,2005,46,Let Me Love You,Mario,38.0,1,36,2005,1
40,277,2005,41,My Boo,Usher And Alicia Keys,34.0,1,26,2005,1
41,278,2005,48,Lean Back,Terror Squad,31.0,1,31,2005,1
42,286,2004,98,I Believe,Fantasia,88.0,1,10,2004,1
43,295,2003,97,This Is The Night,Clay Aiken,98.0,1,16,2003,1
44,297,2003,46,In Da Club,50 Cent,44.0,1,30,2003,1
45,301,2002,39,Hot In Herre,Nelly,35.0,1,26,2002,1
46,302,2002,49,Foolish,Ashanti,50.0,1,32,2002,1
47,303,2002,50,How You Remind Me,Nickelback,45.0,1,49,2002,1
48,307,2002,46,Family Affair,Mary J. Blige,47.0,1,41,2002,1
49,318,2001,50,Butterfly,Crazy Town,37.0,1,23,2001,1
50,319,2001,44,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",33.0,1,25,2001,1
51,320,2001,41,With Arms Wide Open,Creed,37.0,1,47,2001,1
52,333,2001,48,Bent,matchbox twenty,38.0,1,39,2001,1
53,337,2000,46,Incomplete,Sisqo,32.0,1,26,2000,1
54,338,2000,50,Everything You Want,Vertical Horizon,47.0,1,41,2000,1
55,339,2000,43,Try Again,Aaliyah,36.0,1,32,2000,1
56,340,2000,48,It's Gonna Be Me,'N Sync,38.0,1,25,2000,1
57,342,2000,50,Amazed,Lonestar,45.0,1,55,2000,1
58,354,1999,50,If You Had My Love,Jennifer Lopez,46.0,1,25,1999,1
59,356,1999,55,Livin' La Vida Loca,Ricky Martin,44.0,1,20,1999,1
60,363,1999,40,Have You Ever?,Brandy,39.0,1,22,1999,1
61,365,1999,50,Doo Wop (That Thing),Lauryn Hill,47.0,1,21,1999,1
62,366,1999,49,Lately,Divine,41.0,1,27,1999,1
63,367,1999,50,Too Close,Next,48.0,1,53,1999,1
64,368,1999,69,One Week,Barenaked Ladies,63.0,1,20,1999,1
65,369,1999,67,I Don't Want To Miss A Thing,Aerosmith,77.0,1,20,1999,1
66,372,1998,47,Gettin' Jiggy Wit It,Will Smith,44.0,1,32,1998,1
67,387,1997,50,MMMBop,Hanson,43.0,1,22,1997,1
68,388,1997,80,Hypnotize,The Notorious B.I.G.,60.0,1,20,1997,1
69,392,1997,45,Wannabe,Spice Girls,38.0,1,23,1997,1
70,394,1997,44,Macarena (Bayside Boys Mix),Los Del Rio,42.0,1,60,1997,1
71,396,1996,58,Tha Crossroads,Bone Thugs-N-Harmony,57.0,1,20,1996,1
72,399,1996,48,Kiss From A Rose,Seal,44.0,1,36,1996,1
73,403,1995,48,This Is How We Do It,Montell Jordan,49.0,1,29,1995,1
74,404,1995,49,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,45.0,1,30,1995,1
75,406,1994,50,I Swear,All-4-One,47.0,1,30,1994,1
76,407,1994,50,The Sign,Ace Of Base,47.0,1,41,1994,1
77,408,1994,38,Bump N' Grind,R. Kelly,40.0,1,25,1994,1
78,417,1994,50,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,45.0,1,22,1994,1
79,420,1993,46,Weak,SWV,46.0,1,26,1993,1
80,421,1993,47,Freak Me,Silk,34.0,1,24,1993,1
81,422,1993,52,Informer,Snow,41.0,1,25,1993,1
82,424,1993,75,How Do You Talk To An Angel,The Heights,69.0,1,20,1993,1
83,425,1992,41,Baby Got Back,Sir Mix-A-Lot,32.0,1,28,1992,1
84,426,1992,46,Jump,Kris Kross,42.0,1,21,1992,1
85,427,1992,47,Save The Best For Last,Vanessa Williams,43.0,1,27,1992,1
86,428,1992,48,To Be With You,Mr. Big,43.0,1,24,1992,1
87,431,1992,35,I'm Too Sexy,Right Said Fred,25.0,1,21,1992,1
88,433,1992,51,Set Adrift On Memory Bliss,P.M. Dawn,40.0,1,20,1992,1
